Ligne MT enterré,Assurer le transport d'électricité,rupture de la ligne;endommagement de la ligne;court circuit,perturbation alimentation;interruption alimentation,Energie,1
Ligne MT enterré,Limiter les flux d’infiltration provenant de la galerie,ennoiement de la ligne;problème étanchéité,court circuit,Energie,2
Ligne MT enterré,Résister aux pressions mécaniques des autres réseaux de la galerie;Résister aux pressions mécaniques du réseau de transport  ,déformation d'une canalisation voisine; déformation de la chaussée,rupture de la ligne; endommagement de la ligne,Energie,3
Ligne BT enterré,Assurer la distribution d'électricité,rupture de la ligne;endommagement de la ligne;court circuit,perturbation alimentation;interruption alimentation,Energie,4
Ligne BT enterré,Limiter les flux d’infiltration provenant de la galerie,ennoiement de la ligne;problème étanchéité,court circuit,Energie,5
Ligne BT enterré,Résister aux pressions mécaniques des  autres réseaux de la galerie;Résister aux pressions mécaniques du réseau de transport  ,déformation d'une canalisation voisine;déformation de la chaussée,rupture de la ligne; endommagement de la ligne,Energie,6
Ligne BT enterré,Fournir l’énergie aux autres composants urbains,perturbation alimentation;interruption alimentation,perturbation vie des usagers;perturbation activité économique;perturbation des autres réseaux,Energie,7
Transformateur,Permettre le transport d’électricité;Adapter la tension;Permettre la distribution d’électricité,activation disjoncteur,perturbation alimentation;interruption alimentation;court circuit,Energie,8
Transformateur,Limiter les flux d’infiltration provenant de la crue;Limiter les flux d’infiltration provenant de la crue;Eviter submersion,ennoiement du transfo;problème étanchéité;localisation (hauteur) du transfo;détérioration du transfo,activation disjoncteur,Energie,9
Transformateur,Résister aux pressions mécaniques des autres composants urbains;Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,Charriage d'éléments grossiers;déformation surface contact au sol;localisation (hauteur) du transfo,ennoiement du transfo;détérioration du transfo,Energie,10
Poste source,Permettre le transport d’électricité;Adapter la tension;Permettre la distribution d’électricité,problème d'approvisionnement;détérioration structure poste source,perturbation alimentation;interruption alimentation,Energie,11
Poste source,Résister aux pressions hydromécaniques de la crue,débit trop fort,détérioration structure poste source,Energie,12
Poste source,Résister aux pressions mécaniques des autres composants urbains;Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,charriage d'éléments grossiers;détérioration éléments voisins,détérioration structure poste source,Energie,13
Ligne MT aérienne,Assurer le transport d'électricité,rupture de la ligne;endommagement de la ligne,perturbation alimentation;interruption alimentation,Energie,14
Ligne MT aérienne,Résister aux pressions mécaniques exercées par le pylône;résister aux pressions mécaniques des autres composants urbains,chute ou inclinaison d'un pylône;déstabilisation d'un bâtiment,rupture de la ligne; endommagement de la ligne,Energie,15
Ligne BT aérienne,Assurer la distribution d'électricité,rupture de la ligne;endommagement de la ligne,perturbation alimentation;interruption alimentation,Energie,16
Ligne BT aérienne,Résister aux pressions mécaniques exercées par le pylône;résister aux pressions mécaniques des autres composants urbains,chute ou inclinaison d'un pylône;déstabilisation d'un bâtiment,rupture de la ligne;endommagement de la ligne;chute ou inclinaison d'un pylône,Energie,17
Ligne BT aérienne,Livrer l'électricité aux composants urbains,perturbation alimentation;interruption alimentation,perturbation vie des usagers;perturbation activité économique;perturbation des autres réseaux,Energie,18
Pylône,Permettre le transport d’électricité;Assurer le support des lignes,chute ou inclinaison du pylône,perturbation alimentation;interruption alimentation;effondrement d'un élément voisin,Energie,19
Pylône,Résister aux pressions hydromécaniques de la crue,détérioration du pylône;débit trop fort;mauvaise ancrage au sol,chute ou inclinaison du pylône,Energie,20
Pylône,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,effondrement d'un élément voisin;déformation surface contact au sol,Détérioration du pylône;chute ou inclinaison du pylône;mauvaise ancrage au sol,Energie,21
Usine de traitement,Assurer le traitement d'eau potable;Permettre le transport d’eau potable,endommagement équipement;ennoiement équipements sensibles;augmentation traitement,problème alimentation eau potable,Eau potable,22
Usine de traitement,Transmettre les flux hydrauliques,dégradation eau brute;problème des stations de pompage;endommagement équipement,augmentation traitement;problème alimentation eau potable,Eau potable,23
Usine de traitement,résister aux surcharges du réseau;résister aux pressions hydromécaniques de la crue,débit trop fort;infiltration d'eau dans l'usine,endommagement équipement;ennoiement équipements sensibles,Eau potable,24
Usine de traitement,Traiter l'eau nécessaire à la population,Problème alimentation eau potable,problème sanitaire;perturbation vie des usagers,Eau potable,25
Armoire électrique,Permettre la distribution d’électricité;Fournir de l’énergie,ennoiement du transfo;ennoiement équipement,perturbation alimentation électrique;interruption alimentation électrique,Eau potable,26
Armoire électrique,Limiter les flux d’infiltration provenant de la crue;Résister aux pressions hydromécaniques de la crue,problème étanchéité;localisation (hauteur) de l'armoire,ennoiement du transfo;ennoiement équipement,Eau potable,27
Transformateur,Permettre le transport d’électricité;Adapter la tension;Permettre la distribution d’électricité,activation disjoncteur;perturbation alimentation,court-circuit,Eau potable,28
Transformateur,Limiter les flux d’infiltration provenant de la crue;Résister aux pressions hydromécaniques de la crue,ennoiement du transfo;problème étanchéité;localisation (hauteur) du transfo,activation disjoncteur,Eau potable,29
Poste de relèvement,Assurer le relèvement d'eau potable;Permettre le transport d’eau potable,endommagement pompe de relèvement;perturbation alimentation,problème alimentation eau potable,Eau potable,30
Poste de relèvement,Transmettre les flux hydrauliques,endommagement pompe de relèvement,problème alimentation eau potable,Eau potable,31
Poste de relèvement,Résister aux surcharges du réseau,débit trop fort,endommagement pompe de relèvement,Eau potable,32
Canalisation AEP,Assurer le transport d'eau potable;Assurer la distribution d'eau potable,rupture de la canalisation;fragilisation de la canalisation;contamination du réseau,problème alimentation eau potable;perte dans le réseau;déformation d'une canalisation voisine,Eau potable,33
Canalisation AEP,Transmettre les flux hydrauliques,fragilisation de la canalisation;contamination du réseau,problème alimentation eau potable,Eau potable,34
Canalisation AEP,Résister aux surcharges du réseau;Limiter les flux d’infiltration provenant de la galerie;Résister aux pressions hydromécaniques de la galerie,débit trop fort;fragilisation de la canalisation;problème étanchéité,rupture de la canalisation;fragilisation de la canalisation;contamination du réseau,Eau potable,35
Canalisation AEP,Résister aux pressions mécaniques des  autres réseaux de la galerie ;Résister aux pressions mécaniques du réseau de transport ,déformation d'une canalisation voisine;déformation de la chaussée,rupture de la canalisation;fragilisation de la canalisation,Eau potable,36
Canalisation AEP,Livrer l'eau jusqu’aux particuliers,perturbation alimentation;contamination du réseau,perturbation vie des usagers;problème sanitaire;pollution,Eau potable,37
Réservoir (château d'eau),Assurer le stockage d'eau potable;Permettre le transport d’eau potable,perturbation en aval du réseau,problème alimentation eau potable,Eau potable,38
Réservoir (château d'eau),Transmettre les flux hydrauliques,problème alimentation eau potable,problème alimentation eau potable,Eau potable,39
Avaloir,Permettre le transport de l'eau,obstruction avaloir;déformation avaloir,débordement réseau assainissement,Assainissement,40
Avaloir,Collecter les flux hydrauliques,obstruction avaloir,débordement réseau assainissement,Assainissement,41
Avaloir,Résister aux endommagements dus aux chocs des embâcles;Résister aux pressions mécaniques du réseau de transport ,déformations chaussée;embâcles nombreux,obstruction avaloir;déformation avaloir,Assainissement,42
Avaloir,Evacuer l'eau de la voirie,débit trop fort;pluie intense,débordement réseau assainissement,Assainissement,43
Déversoir,Permettre la décharge d'eau,sous dimensionnement;embâcles en amont du système;sous dimensionnement;obstruction avaloir,accentuation risque inondation,Assainissement,44
Déversoir,Collecter les flux hydrauliques,embâcles en amont du système;obstruction avaloir,accentuation risque inondation,Assainissement,45
Canalisation,Assurer le transport des eaux usées;Assurer la distribution des eaux usées ,sous dimensionnement;fissuration canalisation;encombrement canalisation;rupture canalisation,débordement réseau assainissement;inondation;déformation d'une canalisation voisine,Assainissement,46
Canalisation,Evacuer les flux hydrauliques,surcharge d'eau pluviale et souterraine;encombrement canalisation;dépôt suite à la crue;problème evacuation eau,débordement réseau assainissement;rejet eau usée;rejet eau pluviale,Assainissement,47
Canalisation,Résister aux surcharges du réseau;Résister aux pressions hydromécaniques provenant de la galerie,surcharge d'eau pluviale et souterraine;débit trop fort;pluie intense;coup de bélier,fissuration canalisation;encombrement canalisation;rupture canalisation,Assainissement,48
Canalisation,Résister aux pressions mécaniques des  autres réseaux de la galerie;Résister aux pressions mécaniques du réseau de transport  ,déformation d'une canalisation voisine;déformation de la chaussée,fissuration canalisation;rupture canalisation,Assainissement,49
Canalisation,Evacuer les eaux usées des autres composants urbains,débit trop fort;pluie intense,perturbation vie des usagers;perturbation activité économique;perturbation des autres réseaux;pollution,Assainissement,50
Poste de relèvement,Assurer le relèvement des eaux usées;Permettre le transport,endommagement pompe de relèvement,problème evacuation eau,Assainissement,51
Poste de relèvement,Transmettre les flux hydrauliques,endommagement pompe de relèvement,problème evacuation eau,Assainissement,52
Poste de relèvement,Résister aux surcharges du réseau,débit trop fort,endommagement pompe de relèvement,Assainissement,53
Station épuration,Assurer le traitement des eaux usées;Recycler dans le milieu naturel,surcharge hydraulique;submersion de la station;endommagent des équipements,rejet direct des eaux usées,Assainissement,54
Station épuration,Evacuer les flux hydrauliques,endommagent des équipements,rejet direct des eaux usées,Assainissement,55
Station épuration,résister aux surcharges du réseau;résister aux pressions hydromécaniques de la crue,surcharge hydraulique;débit trop fort;situation géographique: bord cours d'eau,endommagment des équipements,Assainissement,56
Station épuration,Traiter l'eau avant retour dans l’environnement,rejet direct des eaux usées,pollution du milieu naturelle;problème sanitaire;problème sanitaire,Assainissement,57
Borne,Assurer la distribution des communications,submersion de la borne;endommagement de la borne;infiltration,perturbation communication;interruption communication,Télécom,58
Borne,Résister aux pressions hydromécaniques de la crue;Eviter submersion,etanchéité borne;localisation (hauteur borne);fort débit,infiltration;endommagement de la borne,Télécom,59
Borne,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,charriage d'éléments grossiers;déformation surface contact au sol,endommagement de la borne,Télécom,60
Borne,Assurer la demande en communication,perturbation communication;interruption communication,perturbation vie des usager;problème pour l'alerte des secours,Télécom,61
Répartiteur,Permettre le transport des communications;Permettre la distribution des communications,submersion répartiteur;endommagement répartiteur;infiltration,perturbation communication;interruption communication,Télécom,62
Répartiteur,Résister aux pressions hydromécaniques de la crue;Eviter la submersion,etanchéité répartiteur;localisation (hauteur borne);fort débit,infiltration;endommagement de la borne,Télécom,63
Répartiteur,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,charriage d'éléments grossiers;déformation surface contact au sol,endommagement de la borne,Télécom,64
CAA,Permettre le transport des communications;Permettre la distribution des communications,perturbation alimentation;endommagement équipements;ennoiement équipements sensibles,perturbation communication;interruption communication,Télécom,65
CAA,Résister aux pressions hydromécaniques de la crue,fort débit;charriage d'éléments grossiers,endommagement équipements;ennoiement équipements sensibles,Télécom,66
CAA,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,charriage d'éléments grossiers;effondrement d'un élément voisin,endommagement équipements,Télécom,67
CAA,Assurer la demande en communication,perturbation communication;interruption communication,perturbation vie des usager;perturbation des secours,Télécom,68
Câble enterré,Assurer la distribution des communications;Assurer le transport des communications,rupture de la ligne;endommagement de la ligne,perturbation communication;interruption communication,Télécom,69
Câble enterré,Limiter les flux d’infiltration provenant de la galerie,ennoiement de la ligne;problème étanchéité,endommagement de la ligne,Télécom,70
Câble enterré,Résister aux pressions mécaniques des  autres réseaux de la galerie;Résister aux pressions mécaniques du réseau de transport  ,déformation d'une canalisation voisine;déformation de la chaussée,rupture de la ligne;endommagement de la ligne,Télécom,71
Câble enterré,Assurer la demande en communication ,perturbation communication;interruption communication,perturbation vie des usagers;perturbation activité économique;perturbation des autres réseaux,Télécom,72
Câble aérien,Assurer la distribution des communications;Assurer le transport des communications,rupture de la ligne;endommagement de la ligne,perturbation communication;interruption communication,Télécom,73
Câble aérien,Résister aux pressions mécaniques exercées par le pylône;résister aux pressions mécaniques des autres composants urbains,chute ou inclinaison d'un pylône;déstabilisation d'un bâtiment,rupture de la ligne;endommagement de la ligne,Télécom,74
Câble aérien,Assurer la demande en communication,perturbation communication;interruption communication,perturbation vie des usagers;perturbation activité économique;perturbation des autres réseaux,Télécom,75
Pylône,Permettre le transport des communications;Assurer le support des câbles,chute ou inclinaison du pylône,perturbation communication;interruption communication,Télécom,76
Pylône,Résister aux pressions hydromécaniques de la crue,Détérioration du pylône,chute ou inclinaison du pylône,Télécom,77
Pylône,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,Charriage d'éléments grossiers;déformation surface contact au sol;effondrement d'un élément voisin,détérioration du pylône;chute ou inclinaison du pylône,Télécom,78
Chaussée,Permettre le transport des véhicules,submersion des voies;endommagement des voies;encrassement de la voirie,perturbation circulation;mise en danger des usagers,Transport,79
Chaussée,Résister aux pressions hydromécaniques de la crue;Eviter la submersion,débordement réseau assainissement;fort débit;type et état de la voirie;voirie non surélevé,submersion des voies;endommagement des voies;encrassement de la voirie,Transport,80
Chaussée,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles,type et état de la voirie;déformation d'une canalisation voisine;charriage d'éléments grossiers;effondrement d'un élément voisin,endommagement des voies;encrassement de la voirie,Transport,81
Chaussée,Assurer la circulation (les échanges) de flux,perturbation circulation,aggravation crise;dangerosité augmenté;perturbation activité économique;perturbation approvisionnement,Transport,82
Trottoir,Permettre le transport des personnes,submersion trottoir;endommagement des trottoir;encrassement des trottoir,perturbation circulation;mise en danger des usagers,Transport,83
Trottoir,résister aux pressions hydromécaniques de la crue;Eviter submersion,débordement réseau assainissement;fort débit;type et état du trottoir,submersion trottoirs;endommagement des trottoirs;encrassement des trottoirs,Transport,84
Trottoir,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles;Résister aux déformations de la route,type et état de la voirie;déformation d'une canalisation voisine;charriage d'éléments grossiers;effondrement d'un élément voisin,endommagement des trottoirs;encrassement des trottoirs,Transport,85
Trottoir,Assurer la circulation protégée des personnes,perturbation circulation,perturbation usagée;dangerosité augmentée,Transport,86
Caniveau,Assurer l’évacuation l'eau,obstruction caniveau;déformation caniveau,débordement réseau assainissement,Transport,87
Caniveau,Drainer les flux hydrauliques,obstruction caniveau;déformation caniveau,débordement réseau assainissement,Transport,88
Caniveau,Résister aux endommagements dus aux chocs des embâcles,déformations chaussée;embâcles nombreux,obstruction caniveau;déformation caniveau,Transport,89
Caniveau,Assurer le bon fonctionnement du réseau routier,débit trop fort; pluie intense,débordement réseau assainissement,Transport,90
Regard\avaloir,Assurer l’évacuation l'eau,obstruction Regard,débordement réseau assainissement;perturbation intervention assainissement,Transport,91
Regard\avaloir,Evacuer les flux hydrauliques,obstruction Regard,débordement réseau assainissement;perturbation intervention assainissement,Transport,92
Regard\avaloir,Assurer le bon fonctionnement du réseau d'eaux usées;Assurer l'interface entre l'extérieur et les autres réseaux,débordement réseau assainissement;perturbation intervention assainissement,aggravation de la crise,Transport,93
Eclairage,Assurer l'éclairage,détérioration eclairage;perturbation alimentation;problème electrique,perturbation circulation,Transport,94
Eclairage,Limiter les flux d’infiltration provenant de la crue;Limiter les flux d’infiltration provenant de la crue,mauvaise état de la signalisation;fort débit;mauvaise ancrage au sol,détérioration eclairage;problème electrique,Transport,95
Eclairage,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles;Résister aux déformations du trottoir,Charriage d'éléments grossiers;déformation surface contact au sol;effondrement d'un élément voisin,détérioration signalisation;problème electrique,Transport,96
Eclairage,Assurer la circulation protégée des flux,perturbation circulation,problème sécurité des personnes,Transport,97
Signalisation,Permettre le transport des flux,détérioration signalisation;perturbation alimentation;problème electrique,perturbation de circulation,Transport,98
Signalisation,Limiter les flux d’infiltration provenant de la crue;Résister aux pressions hydromécaniques de la crue,mauvaise état de la signalisation;débit trop fort;mauvaise ancrage au sol,détérioration signalisation;problème electrique,Transport,99
Signalisation,Résister aux pressions mécaniques des autres composants urbains;Résister aux endommagements dus aux chocs des embâcles;Résister aux déformations du trottoir,Charriage d'éléments grossiers;déformation surface contact au sol;effondrement d'un élément voisin,détérioration signalisation;problème electrique,Transport,100
Signalisation,Assurer la circulation protégée des flux,perturbation circulation,problème sécurité des personnes,Transport,101
Pont,Permettre le transport des flux d'une rive à l'autre,submersion des voies;endommagement des voies;encrassement de la voirie,perturbation circulation;mise en danger des usagers,Transport,102
Pont,Résister aux pressions hydromécaniques de la crue;Eviter submersion,cours d'eau en crue;débit trop fort;type et état de la voirie,submersion des voies;endommagement des voies;encrassement de la voirie,Transport,103
Pont,Résister aux endommagements dus aux chocs des embâcles,type et état de la voirie;charriage d'éléments grossiers,endommagement des voies;encrassement de la voirie,Transport,104
Pont,Assurer la circulation des flux entre deux rives,perturbation circulation,perturbation activité économique;perturbation approvisionnement,Transport,105
Tunnel,Permettre le transport des flux,submersion des voies;endommagement des voies;encrassement de la voirie,perturbation circulation;mise en danger des usagers,Transport,106
Tunnel,Résister aux pressions hydromécaniques de la crue;Eviter submersion,type et état de la voirie;point bas/cuvette;débordement réseau assainissement,submersion des voies;endommagement des voies;encrassement de la voirie,Transport,107
Tunnel,Résister aux endommagements dus aux chocs des embâcles ,type et état de la voirie;charriage d'éléments grossiers;effondrement d'un élément voisin,endommagement des voies;encrassement de la voirie,Transport,108
Tunnel,Assurer la circulation (les échanges) de flux,perturbation circulation,perturbation activité économique;perturbation approvisionnement,Transport,109
Voie ferrée,Permettre le transport des flux,submersion des voies;endommagement des voies;obstacles,perturbation circulation;mise en danger des usagers,Transport,110
Voie ferrée,Résister aux pressions hydromécaniques de la crue;Eviter la submersion,fort débit;voirie en zone inondable,submersion des voies;endommagement des voies,Transport,111
Voie ferrée,Résister aux endommagements dus aux chocs des embâcles;Résister aux pressions mécaniques des autres composants urbains,type et état de la voie;déstabilisation des pylones;charriage d'éléments grossiers,endommagement des voies;obstacles,Transport,112
Voie ferrée,Assurer la circulation (les échanges) des flux,perturbation circulation,perturbation activité économique;perturbation approvisionnement;perturbation de la vie des usagers,Transport,113
Gare,Permettre le transport des flux;Permettre la distribution des flux,inondation de la gare;endommagement de la gare;problème alimentation électrique gare,perturbation circulation;mise en danger des usagers,Transport,114
Gare,Résister aux pressions hydromécaniques de la crue;Limiter les flux d’infiltration provenant de la crue,débit trop fort;pénétration d'eau dans la gare;gare en zone inondable,inondation de la gare;endommagement de la gare;problème alimentation électrique gare,Transport,115
Gare,Résister aux endommagements dus aux chocs des embâcles;Résister aux pressions mécaniques des autres composants urbains,charriage d'éléments grossiers;effondrement d'un élément voisin,endommagement de la gare,Transport,116
Gare,Assurer l'interface avec les autres composants urbains,perturbation circulation,perturbation activité économique;perturbation approvisionnement;perturbation de la vie des usagers,Transport,117
Poste d’aiguillage,Permettre le transport des flux,infiltration dans le poste;endommagement du poste,perturbation circulation,Transport,118
Poste d’aiguillage,Résister aux pressions hydromécaniques de la crue;Limiter les flux d’infiltration provenant de la crue,ennoiement du poste;débit trop fort,infiltration dans le poste;endommagement du poste,Transport,119
Poste d’aiguillage,Résister aux endommagements dus aux chocs des embâcles;Résister aux pressions mécaniques des autres composants urbains,charriage d'éléments grossiers;déformation surface contact au sol,endommagement du poste,Transport,120
Pylône,Permettre le transport d’électricité;Assurer le support des câbles,chute ou inclinaison du pylône,Perturbation alimentation electrique;mise en danger des usagers,Transport,121
Pylône,Résister aux pressions hydromécaniques de la crue,détérioration du pylône;débit trop fort;mauvaise ancrage au sol,chute ou inclinaison du pylône,Transport,122
Pylône,Résister aux endommagements dus aux chocs des embâcles;Résister aux pressions mécaniques des autres composants urbains,Charriage d'éléments grossiers;déformation surface contact au sol;effondrement d'un élément voisin,détérioration du pylône;chute ou inclinaison du pylône,Transport,123
Caténaire,Assurer la distribution d’électricité,arrachement des cables;détérioration des catenaires,Perturbation alimentation électrique train,Transport,124
Caténaire,Résister aux pressions mécaniques du pylone,chute d'arbre ou d'autre éléments;chute ou inclinaison du pylône,arrachement des cables;détérioration des catenaires,Transport,125
Station électrique,Permettre le transport d’électricité;Permettre la distribution d’électricité;Fournir de l’énergie,infiltration dans la station;endommagement de la station;problème alimentation,problème alimentation électrique gare;problème alimentation électrique train,Transport,126
Station électrique,Limiter les flux d’infiltration provenant de la crue;Résister aux pressions hydromécaniques de la crue;Eviter submersion,problème étanchéité;localisation (hauteur) de la station,infiltration dans la station;endommagement de la station;ennoiement de la station,Transport,127
Station électrique,Résister aux endommagements dus aux chocs des embâcles;Résister aux pressions mécaniques des autres composants urbains,charriage d'éléments grossiers;déformation surface contact au sol,endommagement de la station,Transport,128
